category_1,brand_1,category_2,brand_2,num_households
pasta,Barilla,pasta sauce,Newman's,10079
syrups,Aunt Jemima,pasta sauce,Hunt's,9969
pancake mixes,Aunt Jemima,pasta sauce,Hunt's,9947
pasta sauce,Barilla,pasta,Private Label Premium,9918
pasta,Hodgson Mills,pasta sauce,Ragu,9794
pasta,Creamette,syrups,Mrs Butterworth,9653
pasta sauce,Bertolli,syrups,Private Label,9647
pasta,No Yolks,pasta sauce,Prego,9577
pasta sauce,Prego,pancake mixes,Private Label,9554
syrups,Karo,pasta sauce,Prego,9443
pasta,Barilla,syrups,Northwoods,9391
pancake mixes,Hungry Jack,pasta,Mueller,9382
pasta,Creamette,syrups,Karo,9348
pasta sauce,Private Label,pasta,San Giorgio,9329
pancake mixes,Aunt Jemima,pancake mixes,Hungry Jack,9300
pasta,Creamette,pancake mixes,Hungry Jack,9282
syrups,Northwoods,syrups,Private Label,9252
pasta sauce,Barilla,pasta sauce,Bertolli,9213
syrups,Northwoods,pasta sauce,Prego,9165
pasta,Barilla,syrups,Log Cabin,9161
pasta sauce,Bertolli,pasta,Creamette,9126
pasta,Barilla,pancake mixes,Private Label,9053
syrups,Northwoods,pasta,Ronzoni,9038
pasta sauce,Hunt's,pasta,San Giorgio,9019
pasta,Mueller,pasta,San Giorgio,8915
pasta sauce,Newman's,pasta sauce,Ragu,8789
pasta sauce,Barilla,pasta,Ronzoni,8736
pancake mixes,Aunt Jemima,pasta sauce,Classico,8681
pasta sauce,Classico,pasta sauce,Hunt's,8639
syrups,Kellogg,pasta,Private Label,8573
syrups,Karo,syrups,Private Label,8521
pancake mixes,Hungry Jack,pasta sauce,Private Label,8513
pasta,Private Label,syrups,Private Label Premium,8378
pasta sauce,Hunt's,pancake mixes,Private Label,8343
syrups,Aunt Jemima,pasta sauce,Bertolli,8319
pancake mixes,Aunt Jemima,syrups,Mrs Butterworth,8287
pasta sauce,Classico,pasta,San Giorgio,8245
pasta,Barilla,pasta,Hodgson Mills,8189
syrups,Mrs Butterworth,syrups,Private Label,8157
pasta sauce,Bertolli,pasta sauce,Private Label,8152
syrups,Aunt Jemima,pasta,San Giorgio,8130
pasta sauce,Barilla,pasta,Mueller,8125
pasta,Barilla,pasta sauce,Private Label Premium,8106
pasta sauce,Private Label,pasta,Private Label Value,7977
syrups,Northwoods,pasta sauce,Private Label,7969
syrups,Log Cabin,pasta sauce,Prego,7891
pasta,Creamette,pasta,No Yolks,7868
pasta,Creamette,pasta,Mueller,7862
pasta,Mueller,pasta,No Yolks,7837
pasta,Barilla,syrups,Hungry Jack,7692
pasta,No Yolks,syrups,Private Label,7616
syrups,Mrs Butterworth,pasta,Mueller,7518
syrups,Karo,pasta,Mueller,7513
pasta,No Yolks,pasta,Private Label Premium,7512
pancake mixes,Hungry Jack,pasta,Private Label Premium,7493
syrups,Private Label,pasta,Private Label Value,7483
syrups,Kellogg,pasta sauce,Ragu,7447
pasta sauce,Barilla,syrups,Private Label,7370
syrups,Hungry Jack,pasta sauce,Prego,7262
pancake mixes,Aunt Jemima,pasta,San Giorgio,7257
syrups,Aunt Jemima,syrups,Mrs Butterworth,7181
pancake mixes,Hungry Jack,pasta sauce,Hunt's,7123
pasta,Creamette,syrups,Hungry Jack,7013
pasta sauce,Classico,pasta sauce,Newman's,6957
pancake mixes,Hungry Jack,pasta,Ronzoni,6948
pasta,Ronzoni,pasta,San Giorgio,6853
pancake mixes,Aunt Jemima,syrups,Northwoods,6819
syrups,Mrs Butterworth,pasta,Private Label Premium,6779
pasta,Mueller,pancake mixes,Private Label,6778
syrups,Cozy Cottage,pasta,Private Label,6766
pasta,Barilla,pasta,Private Label Value,6736
pasta sauce,Barilla,pasta,Creamette,6707
pasta sauce,Newman's,pasta sauce,Prego,6698
syrups,Log Cabin,pasta,Mueller,6646
pasta,No Yolks,pasta,San Giorgio,6600
pasta sauce,Prego,pasta,Private Label Value,6587
syrups,Karo,pasta,Private Label Premium,6582
pasta,No Yolks,pasta sauce,Private Label,6547
pasta sauce,Barilla,pasta sauce,Private Label,6489
pasta,No Yolks,pasta,Ronzoni,6484
pasta,Creamette,pancake mixes,Private Label,6463
pasta sauce,Newman's,pasta,Private Label Premium,6454
pasta sauce,Prego,pasta sauce,Private Label Premium,6454
pancake mixes,Aunt Jemima,pasta sauce,Bertolli,6387
pasta,Hodgson Mills,pasta sauce,Prego,6317
pasta,Hodgson Mills,pasta,Private Label Premium,6305
pasta,Creamette,pasta sauce,Private Label Premium,6297
pasta sauce,Emeril's,pasta,Private Label,6295
pasta,Barilla,syrups,Private Label Premium,6208
pancake mixes,Private Label,pasta,Private Label Premium,6144
syrups,Aunt Jemima,syrups,Karo,6115
pasta sauce,Bertolli,pasta,San Giorgio,6077
syrups,Mrs Butterworth,pasta sauce,Private Label,6073
pancake mixes,Krusteaz,pasta,Private Label,6049
pasta sauce,Classico,pasta sauce,Private Label Premium,6036
pasta,Creamette,syrups,Log Cabin,6004
pasta sauce,Classico,pancake mixes,Hungry Jack,5969
syrups,Log Cabin,syrups,Private Label,5960
syrups,Aunt Jemima,pasta sauce,Barilla,5949
syrups,Aunt Jemima,syrups,Northwoods,5935
syrups,Private Label Premium,pasta sauce,Ragu,5912
pancake mixes,Aunt Jemima,pancake mixes,Private Label,5911
pasta,Hodgson Mills,pasta,Ronzoni,5902
pasta sauce,Newman's,pasta,Ronzoni,5831
pasta sauce,Classico,syrups,Mrs Butterworth,5817
pasta sauce,Classico,pasta,Hodgson Mills,5782
pasta sauce,Hunt's,syrups,Mrs Butterworth,5773
pancake mixes,Hungry Jack,syrups,Mrs Butterworth,5716
pasta sauce,Bertolli,pasta sauce,Hunt's,5683
pasta,Mueller,pasta sauce,Newman's,5655
pasta sauce,Hunt's,pasta,Private Label Value,5620
syrups,Mrs Butterworth,pasta,Ronzoni,5619
syrups,Karo,pasta sauce,Private Label,5556
syrups,Aunt Jemima,pasta,No Yolks,5555
syrups,Aunt Jemima,pancake mixes,Private Label,5538
syrups,Aunt Jemima,syrups,Log Cabin,5519
syrups,Northwoods,pasta,Private Label Premium,5500
pancake mixes,Aunt Jemima,syrups,Karo,5465
pasta sauce,Classico,pasta,No Yolks,5464
syrups,Cozy Cottage,pasta sauce,Ragu,5451
pasta,Healthy Harvest,pasta,Private Label,5421
pancake mixes,Aunt Jemima,syrups,Log Cabin,5417
pancake mixes,Hungry Jack,pasta,San Giorgio,5356
syrups,Karo,pasta,Ronzoni,5337
syrups,Mrs Butterworth,pasta,San Giorgio,5334
pancake mixes,Private Label,pasta,Ronzoni,5294
pasta,Barilla,pasta sauce,Emeril's,5273
syrups,Private Label,pasta sauce,Private Label Premium,5246
syrups,Log Cabin,pasta,Ronzoni,5241
syrups,Log Cabin,pasta,Private Label Premium,5228
pasta sauce,Hunt's,pasta,No Yolks,5202
pasta,Barilla,syrups,Kellogg,5173
pasta sauce,Bertolli,pasta sauce,Newman's,5108
pasta sauce,Classico,syrups,Karo,5102
pasta sauce,Hunt's,syrups,Karo,5044
pasta,Private Label,syrups,Private Label Value,5011
pasta,Private Label Premium,pasta,Private Label Value,5010
syrups,Kellogg,pasta sauce,Prego,4948
pasta sauce,Emeril's,pasta sauce,Ragu,4942
pasta sauce,Hunt's,syrups,Northwoods,4939
syrups,Hungry Jack,syrups,Private Label,4907
pasta,Hodgson Mills,syrups,Private Label,4894
syrups,Karo,pasta,San Giorgio,4875
pasta,Creamette,pasta,Private Label Value,4834
pancake mixes,Krusteaz,pasta sauce,Ragu,4768
syrups,Cary's,pasta,Private Label,4738
pasta,Creamette,pasta sauce,Newman's,4737
pasta,Hodgson Mills,pasta sauce,Private Label,4675
syrups,Hungry Jack,pasta,Private Label Premium,4651
pancake mixes,Hungry Jack,pancake mixes,Private Label,4649
syrups,Pennant,pasta,Private Label,4646
pancake mixes,Aunt Jemima,pasta,No Yolks,4618
pasta sauce,Classico,syrups,Northwoods,4605
pasta,Healthy Harvest,pasta sauce,Ragu,4579
pancake mixes,Aunt Jemima,pasta sauce,Barilla,4579
pasta,Mueller,pasta,Private Label Value,4557
pasta sauce,Classico,syrups,Log Cabin,4547
pasta sauce,Barilla,pasta,San Giorgio,4532
pancake mixes,Bisquick,pasta,Private Label,4503
pasta,Hodgson Mills,pasta,Mueller,4497
pasta,Private Label,pancake mixes,White Lily,4406
pasta sauce,Private Label,pasta sauce,Private Label Premium,4400
pasta sauce,Bertolli,pancake mixes,Hungry Jack,4394
pancake mixes,Aunt Jemima,syrups,Hungry Jack,4391
pasta sauce,Bertolli,syrups,Mrs Butterworth,4387
pancake mixes,Hungry Jack,syrups,Northwoods,4349
pasta sauce,Barilla,pasta sauce,Hunt's,4339
pasta,Creamette,pasta,Hodgson Mills,4336
pasta,Barilla Plus,pasta,Private Label,4322
syrups,Log Cabin,pasta sauce,Private Label,4249
syrups,Northwoods,pancake mixes,Private Label,4234
pasta sauce,Bertolli,pasta,No Yolks,4224
pasta sauce,Barilla,pasta sauce,Newman's,4211
pasta sauce,Newman's,syrups,Private Label,4161
syrups,Aunt Jemima,pasta sauce,Newman's,4153
pasta,Dreamfield,pasta,Private Label,4133
pasta,Private Label,syrups,Smuckers,4115
pasta sauce,Bertolli,pasta sauce,Private Label Premium,4077
syrups,Kellogg,syrups,Private Label,4066
pasta sauce,Prego,syrups,Private Label Premium,4036
pasta sauce,Bertolli,syrups,Karo,3973
syrups,Hungry Jack,pasta,Mueller,3968
pasta sauce,Bertolli,pasta,Hodgson Mills,3939
pasta sauce,Classico,pancake mixes,Private Label,3923
pasta sauce,Classico,syrups,Hungry Jack,3895
pasta,Barilla,pasta,Barilla Plus,3892
pasta,Private Label Value,pasta,San Giorgio,3880
pasta,Creamette,syrups,Kellogg,3873
pasta,Barilla,pancake mixes,Krusteaz,3853
pasta sauce,Classico,syrups,Private Label Premium,3837
pasta,Dreamfield,pasta sauce,Ragu,3823
pasta,Private Label,syrups,Spring Tree,3808
syrups,Cary's,pasta sauce,Ragu,3791
pasta,Private Label Value,pasta,Ronzoni,3786
pancake mixes,Hungry Jack,syrups,Log Cabin,3773
pancake mixes,Bisquick,pasta sauce,Ragu,3754
pasta,Creamette,pasta,Healthy Harvest,3739
syrups,Log Cabin,pasta,San Giorgio,3731
syrups,Aunt Jemima,pasta,Hodgson Mills,3703
pasta sauce,Bertolli,syrups,Northwoods,3701
pasta,Barilla Plus,pasta sauce,Ragu,3694
syrups,Hungry Jack,pasta,San Giorgio,3680
pasta,Barilla,pasta,Healthy Harvest,3679
pasta sauce,Emeril's,pasta sauce,Prego,3671
pancake mixes,Mrs Butterworth,pasta,Private Label,3659
syrups,Private Label,syrups,Private Label Value,3628
syrups,Private Label Value,pasta sauce,Ragu,3619
syrups,Aunt Jemima,syrups,Hungry Jack,3616
pasta sauce,Bertolli,syrups,Log Cabin,3609
pancake mixes,Hungry Jack,syrups,Karo,3575
pasta sauce,Hunt's,syrups,Log Cabin,3572
pancake mixes,Krusteaz,syrups,Private Label,3569
pasta sauce,Classico,pasta sauce,Emeril's,3551
pasta,Creamette,syrups,Private Label Premium,3520
pasta sauce,Ragu,pancake mixes,White Lily,3516
pancake mixes,Private Label,pasta,San Giorgio,3512
syrups,Hungry Jack,pasta sauce,Private Label,3509
pasta,Barilla,syrups,Cozy Cottage,3491
syrups,Karo,syrups,Mrs Butterworth,3443
pasta sauce,Newman's,pasta sauce,Private Label,3427
syrups,Cozy Cottage,syrups,Private Label,3424
syrups,Hungry Jack,pasta sauce,Hunt's,3413
syrups,Private Label,syrups,Private Label Premium,3404
pasta sauce,Emeril's,pasta,Private Label Premium,3352
syrups,Kellogg,pasta,Mueller,3345
syrups,Grandma Molases,pasta,Private Label,3341
pasta sauce,Barilla,pasta sauce,Private Label Premium,3334
pancake mixes,Krusteaz,pasta sauce,Prego,3333
syrups,Aunt Jemima,syrups,Kellogg,3312
pasta,Hodgson Mills,pasta sauce,Hunt's,3312
syrups,Cozy Cottage,pasta sauce,Prego,3260
syrups,Pennant,pasta sauce,Ragu,3241
pasta sauce,Private Label Premium,pasta,San Giorgio,3240
pasta,DaVinci,pasta,Private Label,3234
pasta,Mueller,pasta sauce,Private Label Premium,3222
pasta sauce,Barilla,pancake mixes,Hungry Jack,3177
pasta sauce,Newman's,pasta,San Giorgio,3177
pasta sauce,Classico,pasta,Private Label Value,3167
pasta sauce,Hunt's,pasta sauce,Private Label Premium,3161
pasta sauce,Ragu,syrups,Smuckers,3154
pancake mixes,Hungry Jack,pasta,No Yolks,3147
pasta sauce,Barilla,pasta,No Yolks,3136
pasta sauce,Private Label Premium,pasta,Ronzoni,3114
pasta sauce,Barilla,pasta,Hodgson Mills,3107
syrups,Karo,pasta,No Yolks,3062
pancake mixes,Mrs Butterworth,pasta sauce,Ragu,3059
syrups,Karo,syrups,Log Cabin,3056
syrups,Private Label Premium,pasta,Ronzoni,3055
pancake mixes,Aunt Jemima,syrups,Kellogg,3054
pasta,Healthy Harvest,pasta sauce,Prego,3041
pasta,Creamette,syrups,Pennant,3033
syrups,Aunt Jemima,pasta,Private Label Value,3027
syrups,Kellogg,pasta,Private Label Premium,3022
syrups,Hungry Jack,pasta,Ronzoni,3020
pasta,Barilla,pasta,DaVinci,3018
pasta sauce,Barilla,syrups,Mrs Butterworth,3016
pancake mixes,Aunt Jemima,pasta sauce,Newman's,2987
syrups,Aunt Jemima,pasta sauce,Private Label Premium,2965
pasta,Hodgson Mills,pasta,San Giorgio,2957
syrups,Log Cabin,syrups,Mrs Butterworth,2957
syrups,Mrs Butterworth,pasta,No Yolks,2949
pasta,Barilla,pasta,Dreamfield,2943
pasta sauce,Private Label,syrups,Private Label Value,2943
pasta,Mueller,syrups,Private Label Premium,2937
pasta sauce,Bertolli,syrups,Hungry Jack,2929
pasta,Healthy Harvest,pasta,Private Label Premium,2925
syrups,Cozy Cottage,pasta sauce,Private Label,2922
pancake mixes,Private Label,pasta,Private Label Value,2905
syrups,Kellogg,pasta sauce,Private Label,2897
pasta sauce,Emeril's,pasta,Mueller,2888
pasta sauce,Emeril's,pasta,Ronzoni,2886
pancake mixes,Aunt Jemima,pasta,Private Label Value,2862
pasta sauce,Barilla,syrups,Karo,2838
syrups,Mrs Butterworth,pancake mixes,Private Label,2837
pasta sauce,Barilla,syrups,Northwoods,2829
pasta sauce,Ragu,syrups,Spring Tree,2826
pasta,Barilla Plus,pasta,Ronzoni,2814
pasta,Barilla,syrups,Cary's,2777
syrups,Pennant,syrups,Private Label,2751
pasta sauce,Bertolli,syrups,Private Label Premium,2724
pasta sauce,Hunt's,syrups,Kellogg,2720
pasta,DaVinci,pasta sauce,Ragu,2719
pasta sauce,Bertolli,pasta sauce,Emeril's,2715
pasta sauce,Private Label,syrups,Private Label Premium,2677
pasta,Barilla,pancake mixes,Bisquick,2666
syrups,Cozy Cottage,pasta,Mueller,2650
pasta,Barilla,pancake mixes,White Lily,2631
pancake mixes,Krusteaz,pasta,Mueller,2621
pasta,Creamette,pasta sauce,Emeril's,2595
pasta sauce,Bertolli,pancake mixes,Private Label,2594
pasta,Barilla Plus,pasta,Private Label Premium,2591
syrups,Kellogg,pasta,Ronzoni,2581
pasta,Barilla,syrups,Smuckers,2579
pasta,Creamette,pasta,Ronzoni,2573
pasta,Barilla Plus,pasta sauce,Prego,2573
pancake mixes,Hodgson Mills,pasta,Private Label,2551
pancake mixes,Krusteaz,pasta,Private Label Premium,2547
pasta sauce,Barilla,syrups,Log Cabin,2544
pancake mixes,Aunt Jemima,pasta,Hodgson Mills,2518
pancake mixes,Bisquick,pasta sauce,Prego,2517
pasta sauce,Classico,pasta,Healthy Harvest,2499
pasta,Healthy Harvest,pasta,Hodgson Mills,2494
pasta sauce,Classico,syrups,Kellogg,2482
pancake mixes,Aunt Jemima,pasta sauce,Private Label Premium,2472
pancake mixes,Hungry Jack,syrups,Kellogg,2470
pasta,Barilla Plus,pasta sauce,Classico,2460
pasta,Mueller,pancake mixes,White Lily,2418
syrups,Log Cabin,pasta,No Yolks,2417
pasta,Healthy Harvest,syrups,Private Label,2416
syrups,Aunt Jemima,pancake mixes,Krusteaz,2412
syrups,Grandma Molases,pasta sauce,Ragu,2410
pancake mixes,Krusteaz,pasta,Ronzoni,2400
pasta,Hodgson Mills,pasta sauce,Newman's,2399
syrups,Cozy Cottage,pasta,Private Label Premium,2395
pancake mixes,Krusteaz,pasta sauce,Private Label,2378
syrups,Cozy Cottage,pasta,Creamette,2376
pasta,DaVinci,pasta,Private Label Premium,2350
pasta,No Yolks,syrups,Northwoods,2339
pancake mixes,Bisquick,syrups,Private Label,2336
pasta,Barilla,syrups,Spring Tree,2326
pasta,Barilla,syrups,Grandma Molases,2324
pancake mixes,Aunt Jemima,syrups,Private Label Premium,2313
pasta,Dreamfield,pasta sauce,Prego,2306
syrups,Cary's,pasta sauce,Prego,2306
syrups,Hungry Jack,syrups,Karo,2306
pasta,No Yolks,pancake mixes,Private Label,2302
pasta sauce,Hunt's,pasta sauce,Newman's,2290
pasta sauce,Prego,pancake mixes,White Lily,2271
syrups,Aunt Jemima,syrups,Private Label Premium,2246
syrups,Karo,syrups,Northwoods,2244
pasta sauce,Emeril's,syrups,Private Label,2243
pasta,No Yolks,pasta,Private Label Value,2231
syrups,Private Label,pancake mixes,White Lily,2224
syrups,Karo,pancake mixes,Private Label,2219
syrups,Kellogg,syrups,Mrs Butterworth,2219
syrups,Hungry Jack,syrups,Mrs Butterworth,2214
syrups,Mrs Butterworth,syrups,Northwoods,2206
pancake mixes,Mrs Butterworth,syrups,Private Label,2203
pasta,Dreamfield,pasta,Mueller,2190
pasta,Hodgson Mills,pasta,No Yolks,2182
pasta sauce,Barilla,syrups,Private Label Premium,2172
syrups,Aunt Jemima,pasta sauce,Emeril's,2171
pasta sauce,Prego,syrups,Smuckers,2162
syrups,Cary's,pasta,Mueller,2161
pasta,Barilla Plus,pasta,Mueller,2140
pancake mixes,Private Label,syrups,Private Label Value,2133
pasta sauce,Barilla,pasta sauce,Emeril's,2132
syrups,Private Label Premium,pasta,San Giorgio,2121
pasta sauce,Classico,pancake mixes,Krusteaz,2113
pancake mixes,Hungry Jack,pasta,Private Label Value,2107
pasta sauce,Newman's,pasta sauce,Private Label Premium,2106
pasta sauce,Hunt's,syrups,Private Label Value,2102
pasta,Healthy Harvest,pasta sauce,Private Label,2102
pasta sauce,Newman's,pasta,No Yolks,2091
pasta sauce,Emeril's,pasta sauce,Newman's,2077
syrups,Cozy Cottage,pasta,Ronzoni,2076
syrups,Pennant,pasta sauce,Prego,2072
pasta sauce,Bertolli,pasta,Private Label Value,2070
syrups,Cary's,syrups,Private Label,2070
pasta,Dreamfield,pasta,Private Label Premium,2058
syrups,Kellogg,pasta,San Giorgio,2057
pasta,Hodgson Mills,syrups,Karo,2040
syrups,Mrs Butterworth,pasta sauce,Newman's,2037
pasta sauce,Barilla,pancake mixes,Private Label,2033
syrups,Northwoods,pasta,San Giorgio,2032
syrups,Log Cabin,syrups,Northwoods,2012
pancake mixes,Mrs Butterworth,pasta sauce,Prego,1994
pancake mixes,Hungry Jack,pasta sauce,Newman's,1993
pasta sauce,Classico,pasta,Dreamfield,1987
syrups,Karo,pasta sauce,Newman's,1985
syrups,Log Cabin,pasta sauce,Newman's,1982
syrups,Private Label,syrups,Smuckers,1982
syrups,Mrs Butterworth,pasta sauce,Private Label Premium,1979
syrups,Cozy Cottage,pasta sauce,Hunt's,1972
pasta sauce,Barilla,syrups,Hungry Jack,1968
syrups,Pennant,pasta,San Giorgio,1967
syrups,Hungry Jack,pasta,No Yolks,1966
pancake mixes,Hungry Jack,pasta sauce,Private Label Premium,1963
pancake mixes,Hodgson Mills,pasta sauce,Ragu,1946
pasta,Creamette,pasta,DaVinci,1942
pasta,Barilla Plus,pasta sauce,Bertolli,1932
pasta sauce,Prego,syrups,Private Label Value,1929
pasta sauce,Hunt's,syrups,Private Label Premium,1919
pasta,Barilla,pasta,Dececco,1901
pancake mixes,Bisquick,pasta,Mueller,1894
pasta sauce,Classico,syrups,Cozy Cottage,1881
pasta,Private Label,pancake mixes,Private Label Premium,1880
pancake mixes,Bisquick,pasta,Creamette,1863
syrups,Aunt Jemima,syrups,Cozy Cottage,1862
syrups,Log Cabin,pancake mixes,Private Label,1856
pasta sauce,Prego,syrups,Spring Tree,1851
pasta,Barilla,syrups,Pennant,1848
pasta,Hodgson Mills,syrups,Log Cabin,1848
pasta,Hodgson Mills,syrups,Mrs Butterworth,1845
pasta,Hodgson Mills,pasta sauce,Private Label Premium,1842
pasta,Ronzoni,pancake mixes,White Lily,1841
pasta sauce,Bertolli,syrups,Kellogg,1824
pasta,Creamette,pasta,Dreamfield,1821
syrups,Cary's,pasta sauce,Private Label,1801
pancake mixes,Aunt Jemima,syrups,Cozy Cottage,1794
pasta,No Yolks,pasta sauce,Private Label Premium,1793
pancake mixes,Aunt Jemima,pancake mixes,Krusteaz,1784
pasta,Creamette,pancake mixes,Krusteaz,1778
pasta sauce,Emeril's,pasta sauce,Private Label,1776
syrups,Hungry Jack,syrups,Log Cabin,1764
pasta,Barilla,syrups,Private Label Value,1764
pasta,Barilla,pancake mixes,Mrs Butterworth,1763
syrups,Cary's,pasta,Private Label Premium,1762
